114,7532,10920,9924,15953,-806,-3032,42.22
115,5924,14096,9792,16275,380,-10681,41.94
116,5428,10828,8608,-18743,7071,-5833,42.32
117,5076,8196,13016,-32519,5734,-5729,42.22
118,4104,1940,11828,-31077,2168,4436,42.22
119,5444,3492,15940,2433,145,1122,42.41
120,4400,5868,19512,2592,-1281,-7356,42.27
121,4044,6388,18804,-3273,-5323,-7335,42.22
122,6148,11916,17724,2703,-10680,-5676,42.32
123,6712,5768,15240,1278,-1600,-3212,42.22
124,6448,4716,16824,1778,168,-1881,42.27
125,6092,1792,17560,3543,1608,3905,42.32
126,7688,5248,18432,4849,752,11008,42.22
127,8668,6820,12652,18021,2231,15153,42.32
128,6652,6340,16004,3015,10996,659,42.22
